x1,x2,objective
0.730099,0.615116,-0.020000
0.730099,0.615116,-0.020000
0.730099,0.615116,-0.020000
0.658286,0.494505,-0.037037
0.658286,0.494505,-0.037037
0.658286,0.494505,-0.037037
0.658286,0.494505,-0.037037
0.658286,0.494505,-0.037037
0.658286,0.494505,-0.037037
0.658286,0.494505,-0.037037
0.658286,0.494505,-0.037037
0.658286,0.494505,-0.037037
0.658286,0.494505,-0.037037
0.658286,0.494505,-0.037037
0.658286,0.494505,-0.037037
0.658286,0.494505,-0.037037
0.658286,0.494505,-0.037037
0.658286,0.494505,-0.037037
0.658286,0.494505,-0.037037
0.658286,0.494505,-0.037037
0.157613,0.970593,-0.037037
0.157613,0.970593,-0.037037
0.169434,0.873534,-0.047619
0.169434,0.873534,-0.047619
0.173374,0.776474,-0.050000
0.173374,0.776474,-0.050000
0.173374,0.776474,-0.050000
0.173374,0.776474,-0.050000
0.173374,0.776474,-0.050000
0.173374,0.776474,-0.050000
0.173374,0.776474,-0.050000
0.173374,0.776474,-0.050000
0.173374,0.776474,-0.050000
0.173374,0.776474,-0.050000
0.173374,0.776474,-0.050000
0.173374,0.776474,-0.050000
0.957167,0.485376,-0.000000
0.957167,0.509644,-0.017241
0.861450,0.521779,-0.018182
0.861450,0.521779,-0.018182
0.670017,0.582451,-0.023810
0.670017,0.582451,-0.023810
0.287150,0.667392,-0.050000
0.287150,0.667392,-0.050000
-0.095717,0.776601,-0.052632
-0.095717,0.776601,-0.052632
-0.095717,0.776601,-0.052632
-0.095717,0.776601,-0.052632
-0.095717,0.776601,-0.052632
-0.095717,0.776601,-0.052632
-0.095717,0.776601,-0.052632
-0.095717,0.776601,-0.052632
-0.095717,0.776601,-0.052632
-0.095717,0.776601,-0.052632
-0.095717,0.776601,-0.052632
-0.095717,0.776601,-0.052632
-0.095717,0.776601,-0.052632
-0.095717,0.776601,-0.052632
0.800280,0.141886,-0.000000
0.800280,0.141886,-0.000000
0.800280,0.141886,-0.000000
0.800280,0.141886,-0.000000
0.800280,0.141886,-0.000000
0.800280,0.141886,-0.000000
0.800280,0.141886,-0.000000
0.800280,0.141886,-0.000000
0.800280,0.141886,-0.000000
0.800280,0.141886,-0.000000
0.800280,0.141886,-0.000000
0.421761,0.915736,-0.033333
0.421761,0.915736,-0.033333
0.453393,0.824162,-0.037037
0.427033,0.778375,-0.040000
0.427033,0.778375,-0.040000
0.421761,0.549441,-0.045455
0.421761,0.549441,-0.045455
0.421761,0.549441,-0.045455
0.395401,0.503655,-0.050000
0.395401,0.503655,-0.050000
0.395401,0.503655,-0.050000
0.395401,0.503655,-0.050000
0.395401,0.503655,-0.050000
0.397378,0.497931,-0.100000
0.397378,0.497931,-0.100000
0.397378,0.497931,-0.100000
0.396966,0.497216,-0.125000
0.396966,0.497216,-0.125000
0.396966,0.497216,-0.125000
0.396966,0.497216,-0.125000
0.396966,0.497216,-0.125000
0.396966,0.497216,-0.125000
0.396966,0.497216,-0.125000
0.792207,0.959492,-0.013158
0.792207,0.959492,-0.013158
0.851623,0.863543,-0.015152
0.802110,0.815569,-0.016667
0.896185,0.599683,-0.017241
0.846672,0.551708,-0.017857
0.846672,0.551708,-0.017857
0.732792,0.671645,-0.020000
